Date,Demographic Group,ONS Code,Org Code,Org Name,Opt Out Rate,Opt-Out Count,Population
12/05/2021,0-9,,,England,1.258810817,"83,576","6,639,282"
12/05/2021,10-19,,,England,1.833831211,"127,000","6,925,392"
12/05/2021,20-29,,,England,2.830072775,"225,515","7,968,523"
12/05/2021,30-39,,,England,3.079459055,"276,526","8,979,694"
12/05/2021,40-49,,,England,2.796473491,"222,826","7,968,107"
12/05/2021,50-59,,,England,2.712248152,"222,697","8,210,790"
12/05/2021,60-69,,,England,3.124541792,"196,900","6,301,724"
12/05/2021,70-79,,,England,4.011502357,"198,860","4,957,245"
12/05/2021,80-89,,,England,3.649152889,"85,298","2,337,474"
12/05/2021,90+,,,England,2.520680903,"12,871","510,616"
12/05/2021,All,,,England,2.717291662,"1,652,082","60,798,847"
12/05/2021,All,E38000006,02P,NHS Barnsley CCG,2.073513055,"5,481","264,334"
12/05/2021,All,E38000007,99E,NHS Basildon and Brentwood CCG,3.985959630,"11,333","284,323"
12/05/2021,All,E38000008,02Q,NHS Bassetlaw CCG,2.808806797,"3,382","120,407"
12/05/2021,All,E38000014,00Q,NHS Blackburn with Darwen CCG,2.805746186,"5,041","179,667"
12/05/2021,All,E38000015,00R,NHS Blackpool CCG,8.796187976,"15,414","175,235"
12/05/2021,All,E38000016,00T,NHS Bolton CCG,3.369508360,"10,693","317,346"
12/05/2021,All,E38000021,09D,NHS Brighton and Hove CCG,2.672409544,"8,674","324,576"
12/05/2021,All,E38000024,00V,NHS Bury CCG,1.888073501,"3,921","207,672"
12/05/2021,All,E38000025,02T,NHS Calderdale CCG,1.909087635,"4,241","222,148"
12/05/2021,All,E38000026,06H,NHS Cambridgeshire and Peterborough CCG,2.066758280,"20,800","1,006,407"
12/05/2021,All,E38000028,04Y,NHS Cannock Chase CCG,0.962354521,"1,304","135,501"
12/05/2021,All,E38000030,99F,NHS Castle Point and Rochford CCG,2.145790886,"3,981","185,526"
12/05/2021,All,E38000034,00X,NHS Chorley and South Ribble CCG,2.158580893,"4,040","187,160"
12/05/2021,All,E38000044,02X,NHS Doncaster CCG,1.048565121,"3,420","326,160"
12/05/2021,All,E38000045,11J,NHS Dorset CCG,3.981340468,"32,338","812,239"
12/05/2021,All,E38000049,06K,NHS East and North Hertfordshire CCG,3.626701291,"22,234","613,064"
12/05/2021,All,E38000050,01A,NHS East Lancashire CCG,1.815238402,"7,109","391,629"
12/05/2021,All,E38000051,03W,NHS East Leicestershire and Rutland CCG,1.990273167,"6,781","340,707"
12/05/2021,All,E38000052,02Y,NHS East Riding of Yorkshire CCG,2.623622037,"8,061","307,247"
12/05/2021,All,E38000053,05D,NHS East Staffordshire CCG,2.205877336,"3,233","146,563"
12/05/2021,All,E38000062,11M,NHS Gloucestershire CCG,2.388921015,"15,946","667,498"
12/05/2021,All,E38000068,01F,NHS Halton CCG,3.408109155,"4,576","134,268"
12/05/2021,All,E38000079,06N,NHS Herts Valley CCG,3.736152616,"24,755","662,580"
12/05/2021,All,E38000080,01D,"NHS Heywood, Middleton and Rochdale CCG",2.845762189,"6,830","240,006"
12/05/2021,All,E38000085,03F,NHS Hull CCG,2.282601177,"6,930","303,601"
12/05/2021,All,E38000086,06L,NHS Ipswich and East Suffolk CCG,2.004204457,"8,342","416,225"
12/05/2021,All,E38000089,11N,NHS Kernow CCG,3.059752973,"18,141","592,891"
12/05/2021,All,E38000091,01J,NHS Knowsley CCG,2.626186048,"4,434","168,838"
12/05/2021,All,E38000097,04C,NHS Leicester City CCG,1.140611408,"4,812","421,879"
12/05/2021,All,E38000101,99A,NHS Liverpool CCG,2.222162259,"12,353","555,900"
12/05/2021,All,E38000106,06Q,NHS Mid Essex CCG,3.744313193,"15,012","400,928"
12/05/2021,All,E38000117,06T,NHS North East Essex CCG,2.421557893,"8,758","361,668"
12/05/2021,All,E38000119,03H,NHS North East Lincolnshire CCG,1.516128654,"2,586","170,566"
12/05/2021,All,E38000122,03K,NHS North Lincolnshire CCG,2.232450715,"4,079","182,714"
12/05/2021,All,E38000126,05G,NHS North Staffordshire CCG,1.367415083,"2,969","217,125"
12/05/2021,All,E38000127,99C,NHS North Tyneside CCG,1.684867534,"3,763","223,341"
12/05/2021,All,E38000130,00L,NHS Northumberland CCG,3.060380979,"10,144","331,462"
12/05/2021,All,E38000135,00Y,NHS Oldham CCG,8.821523537,"23,024","260,998"
12/05/2021,All,E38000136,10Q,NHS Oxfordshire CCG,2.309736113,"18,021","780,219"
12/05/2021,All,E38000137,10R,NHS Portsmouth CCG,1.677157043,"3,861","230,211"
12/05/2021,All,E38000141,03L,NHS Rotherham CCG,1.512916939,"4,011","265,117"
12/05/2021,All,E38000143,01G,NHS Salford CCG,2.014605979,"5,851","290,429"
12/05/2021,All,E38000146,03N,NHS Sheffield CCG,1.759745317,"10,801","613,782"
12/05/2021,All,E38000150,11X,NHS Somerset CCG,3.473806420,"20,466","589,152"
12/05/2021,All,E38000153,05Q,NHS South East Staffordshire and Seisdon Peninsula CCG,2.469689336,"5,343","216,343"
12/05/2021,All,E38000161,01T,NHS South Sefton CCG,1.929075843,"3,024","156,759"
12/05/2021,All,E38000163,00N,NHS South Tyneside CCG,1.831679734,"2,904","158,543"
12/05/2021,All,E38000168,99G,NHS Southend CCG,3.677496459,"6,985","189,939"
12/05/2021,All,E38000170,01V,NHS Southport and Formby CCG,4.364312800,"5,490","125,793"
12/05/2021,All,E38000172,01X,NHS St Helens CCG,3.035086928,"6,056","199,533"
12/05/2021,All,E38000173,05V,NHS Stafford and Surrounds CCG,2.134877619,"3,222","150,922"
12/05/2021,All,E38000174,01W,NHS Stockport CCG,2.748909649,"8,742","318,017"
12/05/2021,All,E38000175,05W,NHS Stoke on Trent CCG,0.995098767,"2,948","296,252"
12/05/2021,All,E38000176,00P,NHS Sunderland CCG,1.150152779,"3,271","284,397"
12/05/2021,All,E38000182,01Y,NHS Tameside and Glossop CCG,6.920287409,"17,423","251,767"
12/05/2021,All,E38000185,07G,NHS Thurrock CCG,5.249404098,"9,602","182,916"
12/05/2021,All,E38000187,02A,NHS Trafford CCG,2.188219674,"5,340","244,034"
12/05/2021,All,E38000188,03Q,NHS Vale of York CCG,2.389074770,"8,747","366,125"
12/05/2021,All,E38000190,03R,NHS Wakefield CCG,2.217022855,"8,547","385,517"
12/05/2021,All,E38000194,02E,NHS Warrington CCG,1.768777120,"3,905","220,774"
12/05/2021,All,E38000197,07H,NHS West Essex CCG,2.839611650,"9,140","321,875"
12/05/2021,All,E38000200,02G,NHS West Lancashire CCG,4.926778334,"5,615","113,969"
12/05/2021,All,E38000201,04V,NHS West Leicestershire CCG,2.082343979,"8,419","404,304"
12/05/2021,All,E38000204,07K,NHS West Suffolk CCG,2.562531314,"6,649","259,470"
12/05/2021,All,E38000205,02H,NHS Wigan Borough CCG,2.570825987,"8,618","335,223"
12/05/2021,All,E38000208,12F,NHS Wirral CCG,6.052276106,"20,476","338,319"
12/05/2021,All,E38000212,13T,NHS Newcastle Gateshead CCG,1.572556391,"8,366","532,000"
12/05/2021,All,E38000215,01H,NHS North Cumbria CCG,1.686109235,"5,517","327,203"
12/05/2021,All,E38000217,14L,NHS Manchester CCG,3.414449658,"23,112","676,888"
12/05/2021,All,E38000220,15E,NHS Birmingham and Solihull CCG,2.767003810,"37,061","1,339,391"
12/05/2021,All,E38000221,15A,NHS Berkshire West CCG,2.162351106,"12,063","557,865"
12/05/2021,All,E38000222,15C,"NHS Bristol, North Somerset and South Gloucestershire CCG",1.811723015,"18,906","1,043,537"
12/05/2021,All,E38000223,14Y,NHS Buckinghamshire CCG,2.595582210,"14,888","573,590"
12/05/2021,All,E38000225,15F,NHS Leeds CCG,1.234981795,"11,088","897,827"
12/05/2021,All,E38000226,02M,NHS Fylde and Wyre CCG,2.914949710,"5,263","180,552"
12/05/2021,All,E38000227,01E,NHS Greater Preston CCG,2.490688692,"5,410","217,209"
12/05/2021,All,E38000228,01K,NHS Morecambe Bay CCG,3.313913942,"11,644","351,367"
12/05/2021,All,E38000229,15M,NHS Derby and Derbyshire CCG,2.041536549,"21,809","1,068,264"
12/05/2021,All,E38000230,15N,NHS Devon CCG,3.715958583,"46,730","1,257,549"
12/05/2021,All,E38000231,92G,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",2.622705210,"25,418","969,152"
12/05/2021,All,E38000232,36J,NHS Bradford District and Craven CCG,1.698782294,"10,975","646,051"
12/05/2021,All,E38000233,27D,NHS Cheshire CCG,2.546163420,"20,049","787,420"
12/05/2021,All,E38000234,84H,NHS County Durham CCG,1.584603536,"8,847","558,310"
12/05/2021,All,E38000235,97R,NHS East Sussex CCG,2.803207318,"15,788","563,212"
12/05/2021,All,E38000236,18C,NHS Herefordshire CCG,2.427191674,"19,617","808,218"
12/05/2021,All,E38000237,91Q,NHS Kent and Medway CCG,2.393552845,"46,422","1,939,460"
12/05/2021,All,E38000238,71E,NHS Lincolnshire CCG,2.961653813,"23,779","802,896"
12/05/2021,All,E38000239,26A,NHS Norfolk and Waveney CCG,3.391190090,"36,442","1,074,608"
12/05/2021,All,E38000240,93C,NHS North Central London CCG,4.338130097,"73,804","1,701,286"
12/05/2021,All,E38000241,42D,NHS North Yorkshire CCG,2.393434834,"10,377","433,561"
12/05/2021,All,E38000242,78H,NHS Northamptonshire CCG,1.955005565,"15,476","791,609"
12/05/2021,All,E38000243,52R,NHS Nottingham and Nottinghamshire CCG,2.670325143,"29,488","1,104,285"
12/05/2021,All,E38000244,72Q,NHS South East London CCG,3.772936966,"76,248","2,020,919"
12/05/2021,All,E38000245,36L,NHS South West London CCG,3.234455009,"55,314","1,710,149"
12/05/2021,All,E38000246,92A,NHS Surrey Heartlands CCG,3.222870233,"35,903","1,114,007"
12/05/2021,All,E38000247,16C,NHS Tees Valley CCG,1.570437891,"11,178","711,776"
12/05/2021,All,E38000248,70F,NHS West Sussex CCG,2.953701197,"26,947","912,313"
12/05/2021,All,E38000249,M1J4Y,"NHS Bedfordshire, Luton and Milton Keynes CCG",3.143638171,"33,143","1,054,288"
12/05/2021,All,E38000250,D2P2L,NHS Black Country and West Birmingham CCG,1.600933470,"23,887","1,492,067"
12/05/2021,All,E38000251,B2M3M,NHS Coventry and Warwickshire CCG,3.513326545,"36,160","1,029,224"
12/05/2021,All,E38000252,D4U1Y,NHS Frimley CCG,2.464799240,"19,823","804,244"
12/05/2021,All,E38000253,D9Y0V,"NHS Hampshire, Southampton and Isle of Wight CCG",2.143200235,"35,874","1,673,852"
12/05/2021,All,E38000254,X2C4Y,NHS Kirklees CCG,1.992991922,"8,924","447,769"
12/05/2021,All,E38000255,A3A8R,NHS North East London CCG,2.520975731,"57,707","2,289,074"
12/05/2021,All,E38000256,W2U3Z,NHS North West London CCG,2.500508865,"66,829","2,672,616"
12/05/2021,All,E38000257,M2L0M,"NHS Shropshire, Telford and Wrekin CCG",2.055193622,"10,546","513,139"
12/05/2021,All,E40000003,Y56,London,3.173952313,"329,902","10,394,044"
12/05/2021,All,E40000005,Y59,South East,2.515044784,"238,264","9,473,549"
12/05/2021,All,E40000006,Y58,South West,2.999738032,"177,945","5,932,018"
12/05/2021,All,E40000007,Y61,East of England,3.096402430,"217,176","7,013,817"
12/05/2021,All,E40000008,Y60,Midlands,2.277339148,"256,854","11,278,689"
12/05/2021,All,E40000009,Y63,North East and Yorkshire,1.824237513,"165,640","9,079,958"
12/05/2021,All,E40000010,Y62,North West,3.323201480,"253,453","7,626,772"
12/05/2021,All,Unallocated,Unallocated,Unallocated,0,"12,848",
12/05/2021,Female,,,England,2.974892630,"903,295","30,363,953"
12/05/2021,Male,,,England,2.460011853,"748,702","30,434,894"
12/05/2021,Unknown,,,England,0,13,0
19/05/2021,0-9,,,England,1.255180907,"83,335","6,639,282"
19/05/2021,10-19,,,England,1.835592844,"127,122","6,925,392"
19/05/2021,20-29,,,England,2.831365361,"225,618","7,968,523"
19/05/2021,30-39,,,England,3.091664371,"277,622","8,979,694"
19/05/2021,40-49,,,England,2.816817093,"224,447","7,968,107"
19/05/2021,50-59,,,England,2.730041811,"224,158","8,210,790"
19/05/2021,60-69,,,England,3.134856430,"197,550","6,301,724"
19/05/2021,70-79,,,England,4.016908585,"199,128","4,957,245"
19/05/2021,80-89,,,England,3.653644918,"85,403","2,337,474"
19/05/2021,90+,,,England,2.526752002,"12,902","510,616"
19/05/2021,All,,,England,2.725872417,"1,657,299","60,798,847"
19/05/2021,All,E38000006,02P,NHS Barnsley CCG,2.080322622,"5,499","264,334"
19/05/2021,All,E38000007,99E,NHS Basildon and Brentwood CCG,3.993345596,"11,354","284,323"
19/05/2021,All,E38000008,02Q,NHS Bassetlaw CCG,2.827908676,"3,405","120,407"
19/05/2021,All,E38000014,00Q,NHS Blackburn with Darwen CCG,2.812425209,"5,053","179,667"
19/05/2021,All,E38000015,00R,NHS Blackpool CCG,8.795617314,"15,413","175,235"
19/05/2021,All,E38000016,00T,NHS Bolton CCG,3.373919949,"10,707","317,346"
19/05/2021,All,E38000021,09D,NHS Brighton and Hove CCG,2.685657596,"8,717","324,576"
19/05/2021,All,E38000024,00V,NHS Bury CCG,1.896259486,"3,938","207,672"
19/05/2021,All,E38000025,02T,NHS Calderdale CCG,1.918540793,"4,262","222,148"
19/05/2021,All,E38000026,06H,NHS Cambridgeshire and Peterborough CCG,2.078582522,"20,919","1,006,407"
19/05/2021,All,E38000028,04Y,NHS Cannock Chase CCG,0.974900554,"1,321","135,501"
19/05/2021,All,E38000030,99F,NHS Castle Point and Rochford CCG,2.156032039,"4,000","185,526"
19/05/2021,All,E38000034,00X,NHS Chorley and South Ribble CCG,2.171404146,"4,064","187,160"
19/05/2021,All,E38000044,02X,NHS Doncaster CCG,1.054697081,"3,440","326,160"
19/05/2021,All,E38000045,11J,NHS Dorset CCG,3.988850572,"32,399","812,239"
19/05/2021,All,E38000049,06K,NHS East and North Hertfordshire CCG,3.635998852,"22,291","613,064"
19/05/2021,All,E38000050,01A,NHS East Lancashire CCG,1.822388025,"7,137","391,629"
19/05/2021,All,E38000051,03W,NHS East Leicestershire and Rutland CCG,2.002013460,"6,821","340,707"
19/05/2021,All,E38000052,02Y,NHS East Riding of Yorkshire CCG,2.633060697,"8,090","307,247"
19/05/2021,All,E38000053,05D,NHS East Staffordshire CCG,2.216111843,"3,248","146,563"
19/05/2021,All,E38000062,11M,NHS Gloucestershire CCG,2.401655136,"16,031","667,498"
19/05/2021,All,E38000068,01F,NHS Halton CCG,3.419280841,"4,591","134,268"
19/05/2021,All,E38000079,06N,NHS Herts Valley CCG,3.745962752,"24,820","662,580"
19/05/2021,All,E38000080,01D,"NHS Heywood, Middleton and Rochdale CCG",2.853678658,"6,849","240,006"
19/05/2021,All,E38000085,03F,NHS Hull CCG,2.291494429,"6,957","303,601"
19/05/2021,All,E38000086,06L,NHS Ipswich and East Suffolk CCG,2.015015917,"8,387","416,225"
19/05/2021,All,E38000089,11N,NHS Kernow CCG,3.064475595,"18,169","592,891"
19/05/2021,All,E38000091,01J,NHS Knowsley CCG,2.628555183,"4,438","168,838"
19/05/2021,All,E38000097,04C,NHS Leicester City CCG,1.145352103,"4,832","421,879"
19/05/2021,All,E38000101,99A,NHS Liverpool CCG,2.228638244,"12,389","555,900"
19/05/2021,All,E38000106,06Q,NHS Mid Essex CCG,3.750299306,"15,036","400,928"
19/05/2021,All,E38000117,06T,NHS North East Essex CCG,2.429576296,"8,787","361,668"
19/05/2021,All,E38000119,03H,NHS North East Lincolnshire CCG,1.521991487,"2,596","170,566"
19/05/2021,All,E38000122,03K,NHS North Lincolnshire CCG,2.236829143,"4,087","182,714"
19/05/2021,All,E38000126,05G,NHS North Staffordshire CCG,1.376626367,"2,989","217,125"
19/05/2021,All,E38000127,99C,NHS North Tyneside CCG,1.692479213,"3,780","223,341"
19/05/2021,All,E38000130,00L,NHS Northumberland CCG,3.066716547,"10,165","331,462"
19/05/2021,All,E38000135,00Y,NHS Oldham CCG,8.818075234,"23,015","260,998"
19/05/2021,All,E38000136,10Q,NHS Oxfordshire CCG,2.322809365,"18,123","780,219"
19/05/2021,All,E38000137,10R,NHS Portsmouth CCG,1.681500884,"3,871","230,211"
19/05/2021,All,E38000141,03L,NHS Rotherham CCG,1.518197626,"4,025","265,117"
19/05/2021,All,E38000143,01G,NHS Salford CCG,2.020459389,"5,868","290,429"
19/05/2021,All,E38000146,03N,NHS Sheffield CCG,1.767076910,"10,846","613,782"
19/05/2021,All,E38000150,11X,NHS Somerset CCG,3.480256368,"20,504","589,152"
19/05/2021,All,E38000153,05Q,NHS South East Staffordshire and Seisdon Peninsula CCG,2.479396144,"5,364","216,343"
19/05/2021,All,E38000161,01T,NHS South Sefton CCG,1.936730905,"3,036","156,759"
19/05/2021,All,E38000163,00N,NHS South Tyneside CCG,1.837987171,"2,914","158,543"
19/05/2021,All,E38000168,99G,NHS Southend CCG,3.682761308,"6,995","189,939"
