"","FALSE","%","TRUE","%","false_pc","true_pc"
"FALSE","8910880","(90)","89670","(90)","8,910,880 (90)","89,670 (90)"
"TRUE","989453","(10)","9997","(10)","  989,453 (10)"," 9,997 (10)"
"Total","9900333","(100)","99667","(100)","9,900,333 (100)","99,667 (100)"
"FALSE1","8910880","(90.5)","89670","(90.4)","8,910,880 (90.5)","89,670 (90.4)"
"TRUE1","940472","(9.5)","9510","(9.6)","  940,472 (9.5)"," 9,510 (9.6)"
"Total1","9851352","(100)","99180","(100)","9,851,352 (100)","99,180 (100)"
"FALSE2","8910880","(90)","85295","(90)","8,910,880 (90)","85,295 (90)"
"TRUE2","989453","(10)","9517","(10)","  989,453 (10)"," 9,517 (10)"
"Total2","9900333","(100)","94812","(100)","9,900,333 (100)","94,812 (100)"
"FALSE3","8464669","(89.6)","88740","(90)","8,464,669 (89.6)","88,740 (90)"
"TRUE3","979524","(10.4)","9900","(10)","  979,524 (10.4)"," 9,900 (10)"
"Total3","9444193","(100)","98640","(100)","9,444,193 (100)","98,640 (100)"
"FALSE4","8822142","(90.4)","85177","(89.9)","8,822,142 (90.4)","85,177 (89.9)"
"TRUE4","940207","(9.6)","9541","(10.1)","  940,207 (9.6)"," 9,541 (10.1)"
"Total4","9762349","(100)","94718","(100)","9,762,349 (100)","94,718 (100)"
