orgName,totalJun,totalJul,popJun,popJul,percJun,percJul,countDiff,percChange,ten
NHS Oldham CCG,23070,29601,260998,260798,8.839148193,11.350163728,6531,28.40789044569422,top
NHS Blackpool CCG,15465,17679,175235,175261,8.825291751,10.087241314,2214,14.29923903486825,top
NHS Tameside and Glossop CCG,17558,25232,251767,251931,6.973908415,10.015440736,7674,43.61302357309492,top
NHS Wirral CCG,20632,28962,338319,338526,6.098386434,8.555325145,8330,40.288340819170855,top
NHS Thurrock CCG,9664,13548,182916,183243,5.283299438,7.393461142,3884,39.940225398218274,top
NHS West Lancashire CCG,5666,8025,113969,113919,4.971527345,7.044478972,2359,41.69647440609623,top
NHS Southport and Formby CCG,5566,8849,125793,125857,4.424729516,7.030995495,3283,58.90226667134425,top
NHS North Central London CCG,74783,129034,1701286,1704940,4.395674801,7.568242871,54251,72.17476755282834,top
NHS Basildon and Brentwood CCG,11461,17877,284323,284553,4.030978852,6.282485161,6416,55.8550761903129,top
NHS Dorset CCG,32731,46897,812239,812941,4.029725241,5.76880733,14166,43.15634404315952,top
NHS Tees Valley CCG,11487,21085,711776,711991,1.613850425,2.961413838,9598,83.49989516531556,bottom
NHS Rotherham CCG,4110,7950,265117,265270,1.550258942,2.996946507,3840,93.31909178563541,bottom
NHS North East Lincolnshire CCG,2643,4623,170566,170746,1.549546803,2.707530484,1980,74.73047466253266,bottom
NHS North Staffordshire CCG,3065,6193,217125,216967,1.411629246,2.854351123,3128,102.2026060375346,bottom
NHS Leeds CCG,11677,29883,897827,898122,1.300584634,3.32727625,18206,155.82927577475903,bottom
NHS Sunderland CCG,3381,7319,284397,284451,1.188831106,2.573026637,3938,116.43332042827618,bottom
NHS Leicester City CCG,4948,15844,421879,422203,1.172848139,3.752697162,10896,219.96445551762946,bottom
NHS Doncaster CCG,3534,7534,326160,326148,1.083517292,2.309994236,4000,113.19403511651572,bottom
NHS Stoke on Trent CCG,3062,6512,296252,296509,1.03357952,2.1962233860000002,3450,112.48712300336604,bottom
NHS Cannock Chase CCG,1374,3256,135501,135648,1.014014657,2.400330267,1882,136.71553960585405,bottom
